nama_lomba,bidang_utama,kategori,tema,jumlah_peserta,hadiah,start_date,deadline_date,penyelenggara
Impact Fest Surabaya 2024,Sosial & Lingkungan,Pendidikan,Pengurangan Sampah Plastik,2905,16000000,,2024-10-01,KEMENTERIAN SOSIAL
National DevFest 2025,Tech & IT,Cyber Security,Smart City,153,46000000,,2024-10-01,PT Telkom Indonesia
Relawan Challenge Padang 2024,Sosial & Lingkungan,Pemberdayaan Masyarakat,Energi Terbarukan,1921,29000000,,2024-06-18,YAYASAN RUANGGURU
National Startup Fest 2024,Bisnis & Ekonomi,Pengembangan UMKM,Green Economy,436,45000000,,2024-04-18,Bursa Efek Indonesia
KOMPETISI DEVFEST MALANG,Tech & IT,Software Development,Aplikasi Layanan Publik,1748,25000000,,2024-09-17,Penyelenggara Independen
National Medical Hackathon 2024,Kesehatan,Gizi dan Nutrisi,Awareness Kesehatan Mental,1804,37000000,,2024-08-08,Yayasan Peduli Sehat
IMPACT FEST PALEMBANG 2024,Sosial & Lingkungan,Umum - Sosial & Lingkungan,Pendidikan Daerah Terpelosok,577,41000000,,2024-04-02,Yayasan Ruangguru
Festival Impact Fest Batam,Sosial & Lingkungan,Pemberdayaan Masyarakat,Aksi Tanggap Bencana,73,36000000,,2026-05-01,UNICEF Indonesia
CodeFest Nasional 2025,Tech & IT,AI/Machine Learning,Umum - Tech & IT,2799,19000000,,2025-06-06,Google Developer Group
MED INNO PEKANBARU 2024,Kesehatan,Kesehatan Mental,Telemedicine Inklusif,1804,29000000,,2024-04-07,Ikatan Dokter Indonesia
Tech Challenge Jakarta 2024,Tech & IT,Data Science,Smart City,820,25000000,2024-03-07,2024-05-22,Penyelenggara Independen
National Relawan Challenge 2026,Sosial & Lingkungan,Pemberdayaan Masyarakat,Pengurangan Sampah Plastik,160,40000000,,2026-07-22,WWF Indonesia
KOMPETISI IDEATHON JAKARTA,Tech & IT,Umum - Tech & IT,Data Privacy,63,9000000,,2026-03-20,Tech Community
National Business Case 2026,Bisnis & Ekonomi,Pengembangan UMKM,Ekonomi Sirkular,3616,29000000,,2026-10-10,Kementerian Koperasi dan UKM
National Eco Summit 2024,Sosial & Lingkungan,Lingkungan Hidup,Pengurangan Sampah Plastik,2702,5000000,,2026-10-10,unicef indonesia   
Gelar Datathon Medan,Tech & IT,Data Science,Data Privacy,966,27000000,,2026-06-01,Google Developer Group
Gelar Aksi Baik Nasional,Sosial & Lingkungan,Kemanusiaan,Aksi Tanggap Bencana,3456,12000000,,2024-06-26,unicef indonesia   
National CodeFest 2026,Tech & IT,Software Development,Smart City,3662,11000000,,2024-06-26,kementerian kominfo   
DevFest Bali 2026,Tech & IT,Cyber Security,Aplikasi Layanan Publik,3966,30000000,,2026-05-13,Kementerian Kominfo
festival med inno manado   ,Kesehatan,Teknologi Medis,Inovasi Alat Medis,371,41000000,,2024-10-12,Ikatan Dokter Indonesia
National Sociopreneur 2024,Sosial & Lingkungan,Umum - Sosial & Lingkungan,Pengurangan Sampah Plastik,3775,39000000,,2024-09-20,UNICEF Indonesia
NATIONAL RELAWAN CHALLENGE 2025,Sosial & Lingkungan,Lingkungan Hidup,Aksi Tanggap Bencana,2412,43000000,,2025-05-24,wwf indonesia   
gelar sociopreneur nasional   ,Sosial & Lingkungan,Lingkungan Hidup,Aksi Tanggap Bencana,2554,49000000,,2025-07-30,WWF Indonesia
National Med Inno 2025,Kesehatan,Umum - Kesehatan,Umum - Kesehatan,2899,19000000,,2025-02-09,who indonesia   
Relawan Challenge Batam 2025,Sosial & Lingkungan,Pendidikan,Pendidikan Daerah Terpelosok,1968,29000000,,2025-05-10,WWF INDONESIA
Festival Aksi Sehat Bengkulu,Kesehatan,Kesehatan Masyarakat,Telemedicine Inklusif,3299,29000000,,2025-05-13,Yayasan Peduli Sehat
sociopreneur malang 2025   ,Sosial & Lingkungan,Lingkungan Hidup,Energi Terbarukan,1921,17000000,2025-06-16,2025-09-06,Kementerian Sosial
National Startup Fest 2026,Bisnis & Ekonomi,Business Plan,Ekonomi Sirkular,3178,28000000,,2026-08-23,Kementerian Koperasi dan UKM
Business Case Pontianak 2024,Bisnis & Ekonomi,Business Plan,Digitalisasi UMKM,2783,5000000,,2024-09-02,Bank Indonesia
national aksi sehat 2024   ,Kesehatan,Kesehatan Mental,Umum - Kesehatan,3971,16000000,2024-07-06,2024-08-26,yayasan peduli sehat   
Gelar Preneur Olympiad Manado,Bisnis & Ekonomi,Pengembangan UMKM,Strategi Pemasaran Gen Z,2832,16000000,,2024-06-29,bca   
Sociopreneur Samarinda 2025,Sosial & Lingkungan,Pendidikan,Aksi Tanggap Bencana,342,30000000,,2025-09-26,Penyelenggara Independen
Kompetisi Ideathon Jakarta,Tech & IT,Data Science,Smart City,1626,47000000,,2025-03-26,tech community   
Kompetisi Health Challenge Bali,Kesehatan,Gizi dan Nutrisi,Pencegahan Stunting,867,14000000,,2025-02-21,Penyelenggara Independen
Gelar Hackathon Malang,Tech & IT,Data Science,Aplikasi Layanan Publik,1626,24000000,,2025-08-30,Google Developer Group
Preneur Olympiad Bali 2026,Bisnis & Ekonomi,Kewirausahaan,Digitalisasi UMKM,554,29000000,,2026-10-26,Bank Indonesia
Gagasan Medis Semarang 2024,Kesehatan,Gizi dan Nutrisi,Umum - Kesehatan,3147,24000000,,2024-03-19,IKATAN DOKTER INDONESIA
relawan challenge makassar 2024   ,Sosial & Lingkungan,Pendidikan,Energi Terbarukan,2827,50000000,,2024-08-27,Penyelenggara Independen
Gelar Aksi Sehat Semarang,Kesehatan,Gizi dan Nutrisi,Inovasi Alat Medis,1804,25000000,,2024-09-18,Yayasan Peduli Sehat
Festival Hackathon Medan,Tech & IT,AI/Machine Learning,Aplikasi Layanan Publik,64,49000000,,2024-05-26,KEMENTERIAN KOMINFO
NATIONAL HEALTH CHALLENGE 2026,Kesehatan,Umum - Kesehatan,Pencegahan Stunting,3523,18000000,,2026-05-27,Kementerian Kesehatan RI
National Hackathon 2025,Tech & IT,AI/Machine Learning,Data Privacy,1764,8000000,,2026-05-27,GOOGLE DEVELOPER GROUP
Gagasan Medis Makassar 2025,Kesehatan,Gizi dan Nutrisi,Awareness Kesehatan Mental,70,23000000,,2025-07-14,IKATAN DOKTER INDONESIA
Gelar Aksi Sehat Pekanbaru,Kesehatan,Gizi dan Nutrisi,Inovasi Alat Medis,856,35000000,,2025-10-14,Ikatan Dokter Indonesia
National Pitching Summit 2024,Bisnis & Ekonomi,Marketing,Strategi Pemasaran Gen Z,255,19000000,,2024-10-31,BCA
ideathon malang 2025   ,Tech & IT,Umum - Tech & IT,Aplikasi Layanan Publik,2784,50000000,,2025-08-12,AWS Indonesia
FESTIVAL MEDICAL HACKATHON MEDAN,Kesehatan,Kesehatan Masyarakat,Inovasi Alat Medis,3660,30000000,,2024-10-14,Yayasan Peduli Sehat
FESTIVAL PITCHING SUMMIT SAMARINDA,Bisnis & Ekonomi,Pengembangan UMKM,Ekonomi Sirkular,3887,17000000,,2026-10-05,Bursa Efek Indonesia
GELAR PRENEUR OLYMPIAD PEKANBARU,Bisnis & Ekonomi,Pengembangan UMKM,Umum - Bisnis & Ekonomi,1053,48000000,,2026-09-26,Inkubator Bisnis Univ
National Preneur Olympiad 2025,Bisnis & Ekonomi,Fintech,Digitalisasi UMKM,977,39000000,,2025-03-07,Bank Indonesia
Sociopreneur Bengkulu 2026,Bisnis & Ekonomi,Pemberdayaan Masyarakat,Pendidikan Daerah Terpelosok,1847,10000000,,2026-11-01,UNICEF INDONESIA
eco summit denpasar 2026   ,Sosial & Lingkungan,Pendidikan,Energi Terbarukan,1921,45000000,,2026-08-02,UNICEF Indonesia
kompetisi pitching summit bandung   ,Bisnis & Ekonomi,Pengembangan UMKM,Ekonomi Sirkular,2982,42000000,,2024-09-23,Bank Indonesia
Preneur Olympiad Balikpapan 2024,Bisnis & Ekonomi,Business Plan,Keuangan Inklusif,1166,43000000,,2024-09-23,Kementerian Koperasi dan UKM
Impact Fest Palembang 2025,Sosial & Lingkungan,Pendidikan,Pendidikan Daerah Terpelosok,479,16000000,,2025-06-09,Kementerian Sosial
Preneur Olympiad Nasional 2026,Bisnis & Ekonomi,Umum - Bisnis & Ekonomi,Keuangan Inklusif,971,26000000,,2026-07-02,Kementerian Koperasi dan UKM
Kompetisi Aksi Sehat Jakarta,Kesehatan,Gizi dan Nutrisi,Awareness Kesehatan Mental,1565,18000000,,2025-09-04,kementerian kesehatan ri   
Pitching Summit Nasional 2026,Bisnis & Ekonomi,Fintech,Keuangan Inklusif,2074,46000000,,2026-05-08,Bursa Efek Indonesia
eco summit medan 2025   ,Sosial & Lingkungan,Lingkungan Hidup,Aksi Tanggap Bencana,2479,38000000,,2025-05-09,WWF Indonesia
National Hackathon 2025,Tech & IT,Software Development,Blockchain for Good,1945,32000000,,2025-07-18,Google Developer Group
Gelar Preneur Olympiad Makassar,Bisnis & Ekonomi,Fintech,Keuangan Inklusif,261,8000000,,2026-05-01,Bank Indonesia
Kompetisi Medical Hackathon Batam,Kesehatan,Kesehatan Masyarakat,Awareness Kesehatan Mental,2653,28000000,,2024-02-07,WHO Indonesia
Gelar Gagasan Medis Jakarta,Kesehatan,Kesehatan Mental,Inovasi Alat Medis,1508,41000000,,2024-09-29,kementerian kesehatan ri   
Festival Medical Hackathon Medan,Kesehatan,Kesehatan Mental,Umum - Kesehatan,2222,8000000,,2025-04-30,Ikatan Dokter Indonesia
Kompetisi Business Case Pekanbaru,Bisnis & Ekonomi,Kewirausahaan,Strategi Pemasaran Gen Z,2181,27000000,,2026-07-10,Kementerian Koperasi dan UKM
National Impact Fest 2024,Sosial & Lingkungan,Kemanusiaan,Pengurangan Sampah Plastik,1921,38000000,,2024-06-26,UNICEF Indonesia
Startup Fest Batam 2025,Bisnis & Ekonomi,Kewirausahaan,Green Economy,1901,43000000,,2025-11-24,Penyelenggara Independen
National DevFest 2025,Tech & IT,Software Development,Blockchain for Good,2590,40000000,,2025-04-13,Penyelenggara Independen
Medical Hackathon Batam 2025,Kesehatan,Kesehatan Masyarakat,Awareness Kesehatan Mental,2299,9000000,,2025-10-10,KEMENTERIAN KESEHATAN RI
National Venture Challenge 2025,Bisnis & Ekonomi,Fintech,Strategi Pemasaran Gen Z,3741,12000000,,2025-07-03,Kementerian Koperasi dan UKM
Gelar Preneur Olympiad Jakarta,Bisnis & Ekonomi,Fintech,Digitalisasi UMKM,2998,44000000,,2026-02-17,Bank Indonesia
Ideathon Malang 2026,Tech & IT,Data Science,Aplikasi Layanan Publik,386,15000000,,2026-05-23,Google Developer Group
national datathon 2024   ,Tech & IT,Software Development,Data Privacy,1158,29000000,,2024-02-22,PT Telkom Indonesia
Impact Fest Surabaya 2024,Sosial & Lingkungan,Kemanusiaan,Aksi Tanggap Bencana,3032,29000000,,2024-05-22,unicef indonesia   
Gelar Preneur Olympiad Pekanbaru,Bisnis & Ekonomi,Kewirausahaan,Digitalisasi UMKM,601,44000000,,2024-09-07,Bursa Efek Indonesia
ECO SUMMIT NASIONAL 2025,Sosial & Lingkungan,Pendidikan,Pengurangan Sampah Plastik,3366,16000000,2025-01-21,2025-02-15,Yayasan Ruangguru
National DevFest 2025,Tech & IT,Software Development,Aplikasi Layanan Publik,101,29000000,,2025-08-12,GOOGLE DEVELOPER GROUP
NATIONAL MED INNO 2026,Kesehatan,Teknologi Medis,Inovasi Alat Medis,1431,39000000,,2026-07-27,IKATAN DOKTER INDONESIA
National CodeFest 2025,Tech & IT,Cyber Security,Umum - Tech & IT,131,41000000,,2025-12-16,AWS Indonesia
kompetisi gagasan medis balikpapan   ,Kesehatan,Teknologi Medis,Inovasi Alat Medis,171,22000000,2024-08-22,2024-11-09,Yayasan Peduli Sehat
KOMPETISI MED INNO NASIONAL,Kesehatan,Gizi dan Nutrisi,Telemedicine Inklusif,2174,15000000,,2024-10-26,ikatan dokter indonesia   
Tech Challenge Pekanbaru 2026,Tech & IT,AI/Machine Learning,Smart City,1954,45000000,,2026-08-05,Penyelenggara Independen
National Gagasan Medis 2026,Kesehatan,Gizi dan Nutrisi,Telemedicine Inklusif,-1725,36000000,,2026-11-16,IKATAN DOKTER INDONESIA
national ideathon 2025   ,Tech & IT,AI/Machine Learning,Data Privacy,1924,9000000,2025-01-16,2025-02-09,Penyelenggara Independen
Gelar Impact Fest Denpasar,Sosial & Lingkungan,Kemanusiaan,Energi Terbarukan,3562,24000000,,2026-02-12,Kementerian Sosial
GELAR AKSI SEHAT SEMARANG,Kesehatan,Gizi dan Nutrisi,Inovasi Alat Medis,94,25000000,,2024-09-18,Yayasan Peduli Sehat
Kompetisi Health Challenge Nasional,Kesehatan,Teknologi Medis,Umum - Kesehatan,2724,31000000,,2024-09-18,YAYASAN PEDULI SEHAT
Kompetisi Preneur Olympiad Balikpapan,Bisnis & Ekonomi,Umum - Bisnis & Ekonomi,Green Economy,2199,44000000,,2025-08-09,bca   
Gelar Tech Challenge Balikpapan,Tech & IT,UI/UX Design,Smart City,-1295,15000000,,2025-10-31,kementerian kominfo   
Medical Hackathon Yogyakarta 2024,Kesehatan,Gizi dan Nutrisi,Awareness Kesehatan Mental,756,47000000,,2024-05-10,Ikatan Dokter Indonesia
Tech Challenge Medan 2024,Tech & IT,Software Development,Blockchain for Good,820,33000000,,2024-09-18,Kementerian Kominfo
National Startup Fest 2024,Bisnis & Ekonomi,Pengembangan UMKM,Digitalisasi UMKM,-3757,49000000,,2025-01-04,Kementerian Koperasi dan UKM
National Aksi Sehat 2024,Kesehatan,Kesehatan Masyarakat,Pencegahan Stunting,3201,45000000,,2024-05-19,WHO INDONESIA
tech challenge manado 2024   ,Tech & IT,AI/Machine Learning,Smart City,537,21000000,,2024-10-29,GOOGLE DEVELOPER GROUP
kompetisi venture challenge manado   ,Bisnis & Ekonomi,Umum - Bisnis & Ekonomi,Strategi Pemasaran Gen Z,479,35000000,,2026-04-17,Bank Indonesia
NATIONAL HACKATHON 2025,Tech & IT,Cyber Security,Smart City,1626,8000000,,2025-11-29,Kementerian Kominfo
Festival Health Challenge Padang,Kesehatan,Gizi dan Nutrisi,Umum - Kesehatan,440,10000000,,2024-08-01,Penyelenggara Independen
RELAWAN CHALLENGE PADANG 2026,Sosial & Lingkungan,Pendidikan,Aksi Tanggap Bencana,1308,6000000,,2026-10-20,wwf indonesia   
national med inno 2025   ,Kesehatan,Kesehatan Masyarakat,Telemedicine Inklusif,3648,50000000,,2025-10-06,Ikatan Dokter Indonesia
Med Inno Palembang 2024,Kesehatan,Kesehatan Masyarakat,Telemedicine Inklusif,1086,11000000,,2024-08-10,Kementerian Kesehatan RI
National Pitching Summit 2025,Bisnis & Ekonomi,Fintech,Green Economy,2090,29000000,,2025-07-11,BANK INDONESIA
National Datathon 2025,Tech & IT,AI/Machine Learning,Blockchain for Good,1349,15000000,,2025-03-23,kementerian kominfo   
Eco Summit Jakarta 2025,Sosial & Lingkungan,Lingkungan Hidup,Aksi Tanggap Bencana,1819,44000000,,2025-03-23,WWF Indonesia
National Medical Hackathon 2025,Kesehatan,Gizi dan Nutrisi,Awareness Kesehatan Mental,2091,29000000,,2025-04-08,Ikatan Dokter Indonesia
Venture Challenge Bali 2024,Bisnis & Ekonomi,Kewirausahaan,Green Economy,2090,14000000,,2025-04-08,Inkubator Bisnis Univ
GAGASAN MEDIS PADANG 2025,Kesehatan,Teknologi Medis,Telemedicine Inklusif,189,30000000,,2025-05-28,kementerian kesehatan ri   
National Sociopreneur 2024,Sosial & Lingkungan,Umum - Sosial & Lingkungan,Pengurangan Sampah Plastik,511,33000000,,2025-05-28,kementerian sosial   
KOMPETISI ECO SUMMIT MALANG,Sosial & Lingkungan,Umum - Sosial & Lingkungan,Energi Terbarukan,2405,40000000,,2024-09-21,UNICEF Indonesia
Gelar Sociopreneur Padang,Sosial & Lingkungan,Kemanusiaan,Pengurangan Sampah Plastik,2572,42000000,,2025-12-05,kitabisa   
Gelar DevFest Balikpapan,Tech & IT,AI/Machine Learning,Smart City,2191,50000000,,2026-03-10,google developer group   
National Tech Challenge 2026,Tech & IT,UI/UX Design,Aplikasi Layanan Publik,1348,20000000,,2026-06-28,aws indonesia   
national med inno 2025   ,Kesehatan,Teknologi Medis,Pencegahan Stunting,3161,17000000,,2025-08-16,Kementerian Kesehatan RI
NATIONAL SOCIOPRENEUR 2026,Sosial & Lingkungan,Pendidikan,Aksi Tanggap Bencana,941,8000000,,2026-07-01,WWF INDONESIA
National Medical Hackathon 2024,Kesehatan,Gizi dan Nutrisi,Awareness Kesehatan Mental,1804,37000000,,2024-08-08,Yayasan Peduli Sehat
DATATHON BALI 2024,Tech & IT,UI/UX Design,Blockchain for Good,547,20000000,,2024-04-26,GOOGLE DEVELOPER GROUP
Eco Summit Palembang 2024,Sosial & Lingkungan,Kemanusiaan,Umum - Sosial & Lingkungan,700,46000000,,2024-04-26,Yayasan Ruangguru
NATIONAL TECH CHALLENGE 2025,Tech & IT,UI/UX Design,Smart City,1919,36000000,,2025-09-04,Tech Community
NATIONAL PITCHING SUMMIT 2025,Bisnis & Ekonomi,Umum - Bisnis & Ekonomi,Digitalisasi UMKM,1225,46000000,,2025-10-25,Kementerian Koperasi dan UKM
Kompetisi Hackathon Bengkulu,Tech & IT,Data Science,Data Privacy,3776,24000000,,2026-08-31,Kementerian Kominfo
kompetisi venture challenge surabaya   ,Bisnis & Ekonomi,Marketing,Digitalisasi UMKM,2090,34000000,,2026-08-31,KEMENTERIAN KOPERASI DAN UKM
Gelar Relawan Challenge Malang,Sosial & Lingkungan,Lingkungan Hidup,Pengurangan Sampah Plastik,3285,44000000,,2025-04-06,UNICEF Indonesia
business case balikpapan 2024   ,Bisnis & Ekonomi,Kewirausahaan,Strategi Pemasaran Gen Z,2980,43000000,,2024-04-03,Bursa Efek Indonesia
Festival Datathon Semarang,Tech & IT,AI/Machine Learning,Blockchain for Good,2421,8000000,,2025-07-01,Kementerian Kominfo
Kompetisi Relawan Challenge Yogyakarta,Sosial & Lingkungan,Pemberdayaan Masyarakat,Energi Terbarukan,3978,41000000,,2026-12-16,WWF Indonesia
Hackathon Palembang 2026,Tech & IT,Cyber Security,Aplikasi Layanan Publik,3857,14000000,,2026-10-03,AWS Indonesia
Aksi Baik Surabaya 2026,Sosial & Lingkungan,Kemanusiaan,Pendidikan Daerah Terpelosok,2700,15000000,,2026-10-09,Yayasan Ruangguru
Festival Hackathon Balikpapan,Tech & IT,UI/UX Design,Smart City,2294,42000000,,2024-03-15,AWS Indonesia
GELAR AKSI SEHAT BALIKPAPAN,Kesehatan,Kesehatan Mental,Telemedicine Inklusif,2450,7000000,,2026-06-29,Yayasan Peduli Sehat
Festival Health Challenge Padang,Kesehatan,Umum - Kesehatan,Pencegahan Stunting,1686,9000000,,2025-04-07,Yayasan Peduli Sehat
National DevFest 2024,Tech & IT,Umum - Tech & IT,Blockchain for Good,1626,48000000,2024-05-26,2024-06-25,Kementerian Kominfo
Festival Pitching Summit Batam,Bisnis & Ekonomi,Kewirausahaan,Keuangan Inklusif,3136,25000000,,2024-06-25,BCA
Health Challenge Palembang 2026,Kesehatan,Kesehatan Mental,Inovasi Alat Medis,1804,46000000,,2024-06-25,WHO Indonesia
National Sociopreneur 2024,Sosial & Lingkungan,Pemberdayaan Masyarakat,Pendidikan Daerah Terpelosok,1740,17000000,,2024-09-03,Yayasan Ruangguru
Sociopreneur Batam 2025,Sosial & Lingkungan,Kemanusiaan,Pengurangan Sampah Plastik,1921,35000000,,2025-03-08,Kitabisa
National Preneur Olympiad 2024,Bisnis & Ekonomi,Pengembangan UMKM,Digitalisasi UMKM,2467,13000000,,2024-10-03,BCA
National Aksi Sehat 2025,Kesehatan,Gizi dan Nutrisi,Telemedicine Inklusif,2094,23000000,2025-01-22,2024-10-03,kementerian kesehatan ri   
national devfest 2026   ,Tech & IT,UI/UX Design,Smart City,3170,43000000,2025-01-22,2026-05-05,AWS Indonesia
Gelar Startup Fest Bali,Bisnis & Ekonomi,Kewirausahaan,Keuangan Inklusif,2713,33000000,2025-10-16,2025-11-01,Inkubator Bisnis Univ
Business Case Pontianak 2024,Bisnis & Ekonomi,Pengembangan UMKM,Ekonomi Sirkular,910,10000000,,2024-03-27,bursa efek indonesia   
National DevFest 2024,Tech & IT,AI/Machine Learning,Umum - Tech & IT,3204,6000000,,2024-06-01,Kementerian Kominfo
ECO SUMMIT BATAM 2025,Sosial & Lingkungan,Pendidikan,Energi Terbarukan,-84,33000000,,2024-06-01,WWF Indonesia
National Impact Fest 2025,Sosial & Lingkungan,Pendidikan,Aksi Tanggap Bencana,2356,25000000,,2025-11-07,WWF Indonesia
National Medical Hackathon 2024,Kesehatan,Kesehatan Mental,Inovasi Alat Medis,1804,22000000,,2024-02-25,Ikatan Dokter Indonesia
Kompetisi Business Case Batam,Bisnis & Ekonomi,Marketing,Strategi Pemasaran Gen Z,976,15000000,,2025-06-25,BURSA EFEK INDONESIA
national med inno 2024   ,Kesehatan,Teknologi Medis,Telemedicine Inklusif,3980,22000000,,2024-07-28,WHO INDONESIA
Gelar Aksi Baik Pontianak,Sosial & Lingkungan,Umum - Sosial & Lingkungan,Umum - Sosial & Lingkungan,3953,48000000,,2026-04-29,yayasan ruangguru   
festival eco summit semarang   ,Sosial & Lingkungan,Umum - Sosial & Lingkungan,Pendidikan Daerah Terpelosok,1238,43000000,,2025-03-07,UNICEF Indonesia
Kompetisi Startup Fest Balikpapan,Bisnis & Ekonomi,Fintech,Digitalisasi UMKM,2090,45000000,,2024-03-29,Inkubator Bisnis Univ
Health Challenge Samarinda 2024,Kesehatan,Gizi dan Nutrisi,Pencegahan Stunting,1513,8000000,,2024-11-03,ikatan dokter indonesia   
DevFest Makassar 2025,Tech & IT,UI/UX Design,Aplikasi Layanan Publik,3803,20000000,,2025-09-03,AWS INDONESIA
Aksi Sehat Pontianak 2025,Kesehatan,Kesehatan Mental,Pencegahan Stunting,520,26000000,,2025-09-19,Ikatan Dokter Indonesia
national datathon 2026   ,Tech & IT,Cyber Security,Aplikasi Layanan Publik,567,6000000,,2026-02-16,Kementerian Kominfo
National Tech Challenge 2025,Tech & IT,Software Development,Smart City,1590,6000000,,2025-03-13,Tech Community
Kompetisi Pitching Summit Pekanbaru,Bisnis & Ekonomi,Fintech,Green Economy,222,34000000,,2026-09-10,BCA
National Tech Challenge 2025,Tech & IT,Software Development,Smart City,2697,34000000,,2025-03-10,Google Developer Group
Gelar Aksi Sehat Semarang,Kesehatan,Kesehatan Masyarakat,Awareness Kesehatan Mental,3444,44000000,,2024-05-03,Ikatan Dokter Indonesia
Gelar Pitching Summit Makassar,Bisnis & Ekonomi,Kewirausahaan,Umum - Bisnis & Ekonomi,3774,37000000,,2024-05-03,INKUBATOR BISNIS UNIV
Gelar Eco Summit Makassar,Sosial & Lingkungan,Pendidikan,Umum - Sosial & Lingkungan,111,34000000,,2024-12-04,Kementerian Sosial
National DevFest 2024,Tech & IT,UI/UX Design,Generative AI,3768,50000000,,2024-05-25,google developer group   
Festival Hackathon Pontianak,Tech & IT,Cyber Security,Umum - Tech & IT,555,48000000,,2024-08-23,AWS Indonesia
Medical Hackathon Surabaya 2024,Kesehatan,Kesehatan Masyarakat,Umum - Kesehatan,3352,36000000,,2024-08-23,Kementerian Kesehatan RI
GELAR AKSI SEHAT MALANG,Kesehatan,Kesehatan Mental,Pencegahan Stunting,1306,41000000,,2026-05-25,Kementerian Kesehatan RI
National Medical Hackathon 2024,Kesehatan,Kesehatan Masyarakat,Telemedicine Inklusif,1804,29000000,,2024-08-25,Kementerian Kesehatan RI
Kompetisi Startup Fest Batam,Bisnis & Ekonomi,Kewirausahaan,Digitalisasi UMKM,2877,13000000,,2026-05-29,Bursa Efek Indonesia
IMPACT FEST MAKASSAR 2026,Sosial & Lingkungan,Lingkungan Hidup,Energi Terbarukan,2935,35000000,,2026-07-08,UNICEF Indonesia
National Startup Fest 2025,Bisnis & Ekonomi,Kewirausahaan,Green Economy,2090,22000000,,2025-10-23,kementerian koperasi dan ukm   
National CodeFest 2026,Tech & IT,Software Development,Generative AI,1934,23000000,,2026-10-30,PT Telkom Indonesia
IMPACT FEST NASIONAL 2025,Sosial & Lingkungan,Kemanusiaan,Umum - Sosial & Lingkungan,3058,48000000,,2025-09-07,kementerian sosial   
Kompetisi Ideathon Denpasar,Tech & IT,Data Science,Smart City,3084,47000000,,2025-10-10,tech community   
AKSI SEHAT SAMARINDA 2025,Kesehatan,Kesehatan Masyarakat,Telemedicine Inklusif,1585,14000000,,2025-08-14,Penyelenggara Independen
Festival DevFest Malang,Tech & IT,AI/Machine Learning,Smart City,2879,47000000,,2026-07-22,Tech Community
GELAR IMPACT FEST SEMARANG,Sosial & Lingkungan,Pemberdayaan Masyarakat,Pendidikan Daerah Terpelosok,-2533,42000000,,2026-07-07,UNICEF Indonesia
National CodeFest 2025,Tech & IT,Software Development,Data Privacy,290,31000000,,2025-09-21,Kementerian Kominfo
NATIONAL RELAWAN CHALLENGE 2026,Sosial & Lingkungan,Pendidikan,Pengurangan Sampah Plastik,2922,44000000,,2026-12-17,WWF Indonesia
Startup Fest Bandung 2026,Bisnis & Ekonomi,Umum - Bisnis & Ekonomi,Green Economy,2090,5000000,,2026-10-09,BCA
DATATHON PALEMBANG 2026,Tech & IT,Software Development,Blockchain for Good,3709,47000000,,2026-03-12,Kementerian Kominfo
National Tech Challenge 2026,Tech & IT,UI/UX Design,Data Privacy,367,19000000,,2027-01-04,Tech Community
Hackathon Surabaya 2025,Tech & IT,Software Development,Smart City,1626,24000000,,2025-06-20,PT TELKOM INDONESIA
kompetisi startup fest surabaya   ,Bisnis & Ekonomi,Business Plan,Strategi Pemasaran Gen Z,2971,34000000,,2026-08-10,BCA
National Aksi Baik 2026,Sosial & Lingkungan,Kemanusiaan,Aksi Tanggap Bencana,1921,47000000,,2026-07-07,UNICEF Indonesia
eco summit palembang 2024   ,Sosial & Lingkungan,Kemanusiaan,Pendidikan Daerah Terpelosok,700,46000000,,2024-07-22,Yayasan Ruangguru
Impact Fest Manado 2026,Sosial & Lingkungan,Pendidikan,Pendidikan Daerah Terpelosok,1003,29000000,,2026-08-29,UNICEF Indonesia
Sociopreneur Malang 2024,Sosial & Lingkungan,Kemanusiaan,Aksi Tanggap Bencana,3521,9000000,,2025-01-02,YAYASAN RUANGGURU
National Sociopreneur 2025,Sosial & Lingkungan,Pendidikan,Aksi Tanggap Bencana,-3557,29000000,,2025-10-26,Penyelenggara Independen
Gelar Health Challenge Pekanbaru,Kesehatan,Gizi dan Nutrisi,Telemedicine Inklusif,1609,49000000,2026-04-18,2026-05-20,Kementerian Kesehatan RI
national business case 2026   ,Bisnis & Ekonomi,Business Plan,Green Economy,1416,50000000,,2026-11-30,Bursa Efek Indonesia
FESTIVAL DATATHON BATAM,Tech & IT,Data Science,Data Privacy,-3416,46000000,,2024-06-03,Tech Community
National Hackathon 2025,Tech & IT,Data Science,Smart City,2435,31000000,,2025-02-15,PT TELKOM INDONESIA
Festival Gagasan Medis Pekanbaru,Kesehatan,Kesehatan Mental,Pencegahan Stunting,1311,14000000,,2025-02-15,yayasan peduli sehat   
National Startup Fest 2024,Bisnis & Ekonomi,Fintech,Digitalisasi UMKM,1919,22000000,,2024-04-15,Inkubator Bisnis Univ
FESTIVAL AKSI BAIK NASIONAL,Sosial & Lingkungan,Pendidikan,Pengurangan Sampah Plastik,96,31000000,,2026-07-16,Yayasan Ruangguru
Kompetisi Med Inno Semarang,Kesehatan,Kesehatan Masyarakat,Awareness Kesehatan Mental,2183,43000000,,2024-10-26,Yayasan Peduli Sehat
Kompetisi Startup Fest Samarinda,Bisnis & Ekonomi,Kewirausahaan,Keuangan Inklusif,-772,29000000,,2024-08-29,Penyelenggara Independen
